serial no,Registration Number,Date of Grant,Name Factory Address,IS NO,Product,Status,Valid Upto,Models deleted from scope,Brand,View Models
49,R-41019593,28-Aug-2015,"DONGGUANSUNSTRONGELECTRONICSANDMECHANICALCO.,LTD.SICUN,TANGXIATOWN,DONGGUANCITY,GUANGDONGPROVINCEP.R.CHINA",IS616:2010,ACPOWERADAPTER,Expired,27-Aug-2019,,SONY,AC-MS1202S(Changeovertorevisedversionforthefollowingmodelsdonew.e.f.27July2018)AC-MS1202S
50,R-41057037,14-Dec-2016,ACBELELECTRONIC(DONGGUAN)COLTDHORNGYEHINDUSTRIALDISTRICTTANGXIATOWNDONGGUANGUANGDONGCHINA,IS13252(Part1):2010/IEC60950-1:2005,ACPoweradapter(POWERADAPTERSFORITEQUIPMENTS),Expired,13-Dec-2018,-,HewlettPackardEnterprise,"TPC-AA501,TPC-AA50"
51,R-41060291,09-Feb-2017,"SHENZHENHUNTKEYELECTRONICSCO.,LTD.ABCDAREA,4FOFNO.1BLD,HUNTKEYINDUSTRIALPARK,XUEXIANGVILLAGE,BANTIANSTREET,LONGGANGDISTRICT,SHENZHENCITY,GUANGDONGPROVINCE,CHINA-518129",IS13252(Part1):2010/IEC60950-1:2005,ACPOWERADAPTER(PowerAdaptorforITEquipment),Operative,08-Feb-2021,-,DJI,"F1C50,PH4C100(followingmodelsincludedon18Oct2017)P1C50(followingmodelsincludedon25Nov2019)P2C38"
52,R-41109142,16-Nov-2018,"SuntreeLightingTechnologyCo.Ltd.Address:BLDGB6B,YINGZHANINDUSTRIALPARKKENGZIROAD,PINGSHANDISTRICT,SHENZEN-518122,CHINA",IS15885(Part2/Sec13):2012,ACsuppliedelectroniccontrolgearforLEDmodules,Operative,15-Nov-2020,-,MnT,"FLP-HBG-100H,FLP-HBG-60H,FLP-HBG-50H,FLP-HBG-30H"
53,R-41155438,24-Mar-2020,"ShenzhenTigiDigitalLightingTechnologyCo.Ltd7THFLOOR,6THBLOCK,ZHONGYUNTAISCIENCEANDTECHNOLOGYINDUSTRIALPARK,SONGBAIROAD,SHIYANTOWN,BAOANDISTRICT,SHENZHENCITY,GUANGDONGPROVINCE,CHINA-518100",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDmodules,Operative,23-Mar-2022,-,WIPRO(Device),"LGT66-012-042-320,LGT66-030-042-700,LGT66-040-042-950,LGT66-1224CV-10A,LGT66-1224CV-10ATW"
54,R-41046140,27-Jul-2016,"ZhongshanLaiweiLightingCoLtd3/F,NO.13,HUAANDONGROAD,CAOSANINNOVATIONPARK,GUZHEN,ZHONGSHANCITY,GUANGDONG,China-528400",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Expired,26-Jul-2018,-,Hills,"0102APF,0103APF,0407APF,0912APF,1318APF,1925APF,2636APF,3754APF"
55,R-41046094,26-Jul-2016,"ZhongshanLaiweiLightingCoLtd3/F,NO.13,HUAANDONGROAD,CAOSANINNOVATIONPARK,GUZHEN,ZHONGSHANCITY,GUANGDONG,China-528400",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Expired,25-Jul-2018,-,HAVOC,"0102APF,0103APF,0407APF,0912APF,1318APF,1925APF,2636APF,3754APF"
56,R-41110817,30-Nov-2018,"FoshanShundeGuangxinPhotoelectricity&TechnologyCo.,Ltd.PART1,THEFIRSTFLOOR,NO.26XIANG'ANSOUTHROAD,RESIDENTSCOMMITTEEOFJUNANCOMMUNITY,JUNANTOWN,SHUNDEDISTRICT,FOSHANCITY,CHINA-528329",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Operative,29-Nov-2020,-,GUANGXIN,"GX-WG018H0300B168,GX-WG012H0300B166,GX-WG007H0300B166,GX-WG024H0300B169"
57,R-41048070,09-Aug-2016,"ZhongshanLingbangLightingCo.,Ltd.UNIT2,NO.5GUANGLEBEIROAD,LIANFENG,XIAOLANTOWN,ZHONGSHANCITY,GUANGDONG,CHINA-528421",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Expired,08-Aug-2018,-,FTL,"5065WAPF,3650WAPF,2436WAPF,1824WAPF,1218WAPF,0812WAPF,0407WAPF,0103WAPF"
58,R-41048011,09-Aug-2016,"GuangdongErmanLightingCo,.Ltd.NO-13,BUILDING,MINGHUIROAD,GAOXINDISTRICT,JIANGMENCITY,GUANGDONGPROVINCE,CHINA",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Expired,08-Aug-2018,-,H2OLIGHTING,"45W120,3040W90,3040W80,1924W60,1218W45,1218W30,0812W30,0407W60,0407W30,0103W30"
59,R-41047929,11-Aug-2016,"ZhongshanLaiweiLightingCo.Ltd.3/F,NO.13,HUAANDONGROAD,CAOSANINNOVATIONPARK,GUZHEN,ZHONGSHANCITY,GUANGDONG,China-528400",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Operative,10-Aug-2020,-,Jotikalite,"1318APF,0912APF,0407APF,0103APF,0102APF,1925APF,2636APF,3754APF"
60,R-41046299,27-Jul-2016,"ZhongshanLaiweiLightingCoLtd3/F,NO.13,HUAANDONGROAD,CAOSANINNOVATIONPARK,GUZHEN,ZHONGSHANCITY,GUANGDONG,China-528400",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Operative,26-Jul-2022,-,GET,"0102APF,0103APF,0407APF,0912APF,1318APF,1925APF,2636APF,3754APF"
61,R-41046396,02-Aug-2016,"EagleriseElectronics(Foshan)Co.,LtdNO.4,EASTHUANZHENROAD,BEIJIAO,SHUNDE,FOSHANGUANGDONG,China-528000",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Operative,01-Aug-2025,-,IKEA,"ELP018C0600LSD1(followingmodelsincludedon28Nov2016)ELP009C0700LS,ICPSW24-12-1,ELP008C0350LS,ICPSW24-21-1,ICPSH24-10EU-IL-1(followingmodelsincludedon12Dec2017)ICPSHC24-10CN-IL-1(followingmodelsincludedon14Dec2017)ICPSW24-12-2(followingmodelsincludedon14Dec2017)ICPSHC24-30CN-IL-1(FollowingModelsincludedon10Jan2018)ICPSW24-21-2(followingmodelsincludedon01July2019)EHP018C0140LIRD1,EHP011C0140LIRD1"
62,R-41046361,01-Aug-2016,"ZhongshanDengmengLightingTechnologyCo.,Ltd.FLOOR2,3,BUILDINGA,FANSHAOYOUWORKSHOP,HONGKAIROAD,WUSHAINDUSTRIALPARK,HENGLANZHENTOWN,ZHONGSHANCITY,CHINA",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Expired,31-Jul-2018,-,ceeje,"DM-50WPF,DM-30WPF,DM-20WPF,DM-10WPF"
63,R-41047910,11-Aug-2016,"ZhongshanHongchangPhotoelectricCo.,Ltd.1STFLOOR,NO.68CAOXINGEASTROAD,GUZHENTOWN,ZHONGSHAN,CITY,GUANGDONGPROVINCE,CHINA",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Expired,10-Aug-2018,-,HONGCHANGLIGHTING,"HS-DPS-100,HS-DPS-70,HS-DPS-50,HS-DPS-30,HS-DPS-20,HS-DPS-10,HS-DPS-40,HS-DPS-150"
64,R-41046353,01-Aug-2016,"ZhongshanFanerLightingTechnologyCo.,Ltd.AREANO.2,SECTIONNO.2,3RDFLOOR,BUILDINGNO.8,BAIJIABLOCK,TONGFUNORTHROAD,GUZHENTOWN,ZHONGSHANCITY,CHINA",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Expired,31-Jul-2018,-,TERRA,"FN-3650,FN-1825,FN-0103,FN-2536,FN-1218,FN-0812,FN-0307"
65,R-41047880,11-Aug-2016,"JiangmenCityMhenElectricalCo.,Ltd.(SELF-EDIT01)SECONDFLOOROFBUILDING2,NO.348LIANHAIROAD,JIANGHAIDISTRICT,JIANGMENCITY,GUANGDONG,China-529000",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Expired,10-Aug-2018,-,MHEN,"MH-QD1601-12,MH-QD1601-24,MH-QD1601-7,MH-QD1601-18,MH-QD1601-3,MH-QD1601-36"
66,R-41110450,28-Nov-2018,"ZhongshanWisestLightingElectronicalCo.LtdUNITNO.1,2/F,BUILDING2,NO.7,YIHUI1STROAD,MAOHUIINDUSTRIALAREA,HENGLANTOWN,ZHONGSHANCITY,GUANGDONG,China-528421",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Operative,27-Nov-2025,-,LUKER,"LUWD2,LUWD6,LSD02,LSD16,LSD30,LSD03,LSD05,LSD08,LSD12,LSD20,LPLSD03,LPLSD05(followingmodelsincludedon25Oct2019)LBPD-30,LBPD-48,LPD3IN1-18,LBPD-40,LPD3IN1-12,LPD3IN1-15,LPD3IN1-30,LPD3IN1-42,LPD3IN1-6"
67,R-41046434,01-Aug-2016,"ZhongshanPnyLightingTech.Co.,LtdYONGXINGINDUSTRIAL,HENGLANTOWN,ZHONGSHANCITY,GUANGDONGPROVINCE,P.R.CHINA-528478",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Expired,31-Jul-2018,-,RMLIGHTS,"B1-PN012Y0200L,B2-PN012Y0250L,B3-PN012Y0300L,B4-PN012Y0300L,B5-PN015Y0400L,B6-PN018Y0450L,B7-PN018Y0500L,B8-PN012Y0500L,B9-PN018Y0300L,A1-PN003Y0300L,A2-PN003Y0700L,A3-PN004Y0350L,A4-PN004Y0300L,A5-PN005Y0400L,A6-PN005Y0300L,A7-PN005Y0350L,A8-PN007Y0300L,A9-PN007Y0350L,C1-PN016Y0400L,C2-PN018Y0450L,C3-PN020Y0500L,C4-PN024Y0600L,C5-PN025Y0650L,C6-PN028Y0700L,C7-PN030Y0750L,C8-PN032Y0800L,C9-PN035Y0850L,C10-PN030Y0900L"
68,R-41046582,02-Aug-2016,"ZhongshanHefengLightingCoLtd2/F,3/FAND4/FBLOCKA2,WANHAOBUILDINGNO.3HENGXINGROAD,TONYGYIINDUSTRIALPARK,GUZHENTOWN,ZHONGSHANCITY,GUANGDONGPROVICE,CHINA-528400",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Expired,01-Aug-2018,-,JOTIKALITE,"0407,0103,1825,1317,0812,3849,2636"
69,R-41046469,02-Aug-2016,"ZhongshanEnjoylightTechnologyCo.,Ltd.1/F-1,BUILDING1,NO.191,BOAI7THROAD,TORCHDEVELOPMENTZONE,ZHONGSHANCITY,China",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Expired,01-Aug-2018,-,GIBSS,"GLPD3,GLPD8D12D15D18D22,GLPD48,GLPD36D40"
70,R-41046426,01-Aug-2016,"ZhongshanLaiweiLightingCoLtd3/F,NO.13,HUAANDONGROAD,CAOSANINNOVATIONPARK,GUZHEN,ZHONGSHANCITY,GUANGDONG,China-528400",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Expired,31-Jul-2018,-,ITALUXS,"1318APF,0912APF,0407APF,0103APF,0102APF,3754APF,2636APF,1925APF"
71,R-41046515,02-Aug-2016,"ZhongshanCityGuangshuoLightingTechnologyCo.,LtdNO.18,FUQING2ROAD,YONGXINGINDUSTRIALAREA,HENGLANTOWN,ZHONGSHANCITY,GUANGDONG,P.R.C-528478",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Operative,01-Aug-2022,-,SmartLight,"GS024,GS022,GS018,GS015,GS012,GS008,GS006,GS030,GS016,GS003"
72,R-41046485,01-Aug-2016,"ZhongshanLingbangLightingCo.,Ltd.UNIT2,NO.5GUANGLEBEIROAD,LIANFENG,XIAOLANTOWN,ZHONGSHANCITY,GUANGDONG,CHINA-528421",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Expired,31-Jul-2018,-,DIVINELIGHTS,"LBSF-30APF,LBSF-22APF,LBSF-15APF,LBSF-8APF"
73,R-41046574,02-Aug-2016,"ZhongshanLaiweiLightingCo.Ltd.3/F,NO.13,HUAANDONGROAD,CAOSANINNOVATIONPARK,GUZHEN,ZHONGSHANCITY,GUANGDONG,China-528400",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Operative,01-Aug-2022,-,CHANDRA,"0102APF,0103APF,0407APF,0912APF,1318APF,3754APF,2636APF,1925APF"
74,R-41046531,02-Aug-2016,"ZhongshanDengmengLightingTechnologyCo.,Ltd.FLOOR2,3,BUILDINGA,FANSHAOYOUWORKSHOP,HONGKAIROAD,WUSHAINDUSTRIALPARK,HENGLANZHENTOWN,ZHONGSHANCITY,CHINA",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Operative,01-Aug-2020,-,Slang,"DM-50WPF,DM-30WPF,DM-20WPF,DM-10WPF(FollowingModelsincludedon29Aug2017)SSL-200-12,SSL-60-12,SSL-24-12,SSL-120-12,SSL-250-12"
75,R-41110400,28-Nov-2018,"ShenzhenSansElectricalCo.,Ltd4THFLOOR,BUILDINGNO.4,BAOSHANINDUSTRIALAREA,MINGZHISTREET,LONGHUANEWDISTRICT,GUANGDONGPROVINCE,SHENZHEN,CHINA-518100",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Operative,27-Nov-2020,-,GREENLIFE,"12V5AMP,12V6AMP,12V8AMP,12V10AMP,12V12AMP,12V20AMP,12V25AMP,12V2AMP,12V16AMP,12V33AMP"
76,R-41046566,02-Aug-2016,"ZhongshanLaiweiLightingCo.Ltd.3/F,NO.13,HUAANDONGROAD,CAOSANINNOVATIONPARK,GUZHEN,ZHONGSHANCITY,GUANGDONG,China-528400",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Expired,01-Aug-2018,-,MagicSilver,"0102APF,0103APF,0407APF,0912APF,1318APF,3754APF,2636APF,1925APF"
77,R-41046590,02-Aug-2016,"ZhongshanLaiweiLightingCo.Ltd.3/F,NO.13,HUAANDONGROAD,CAOSANINNOVATIONPARK,GUZHEN,ZHONGSHANCITY,GUANGDONG,China-528400",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Expired,01-Aug-2018,-,MAXLED,"0102APF,0103APF,0407APF,0912APF,1318APF,3754APF,2636APF,1925APF"
78,R-41046540,01-Aug-2016,"ZhongshanLaiweiLightingCo.Ltd.3/F,NO.13,HUAANDONGROAD,CAOSANINNOVATIONPARK,GUZHEN,ZHONGSHANCITY,GUANGDONG,China-528400",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Operative,31-Jul-2020,-,EIGMA,"0102APF,0103APF,0407APF,0912APF,1318APF,3754APF,2636APF,1925APF"
79,R-41046779,02-Aug-2016,"ZhongshanHenglanBaierLightingElectricalAppliancesFactoryBUILDING2,AOKELAIINDUSTRIALPARK,NO.14,LEFENG5THROAD,MAOHUIINDUSTRIALZONE,HENGLANTOWN,ZHONGSHANCITY,CHINA-528478",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Operative,01-Aug-2020,-,LIBERTYGOLD,"HC0103A1,HC0407A1,HC0812A1,HC1218A1,HC1824A1,HC2436A1,HC3650A1"
80,R-41110310,27-Nov-2018,"SelfElectronicsCo.,LtdNO.1345,JUXIANROAD,HI-TECHPARKZONE,NINGBOCITY,ZHEJIANGPROVINCE,P.RChina-315103",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Operative,26-Nov-2020,-,KROMEDISPENSE,SLT5-12VS
81,R-83002534,02-Aug-2016,"CompactLampsPrivateLtdPLOTNO.B-2,INDUSTRIALAREA,BAJPUR-1,UDHAMSINGHNAGAR(UTTARAKHAND)INDIA-262401",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Expired,01-Aug-2018,-,HI-SIGN,"CSD02A,CLP6-9A,CLP03A,CLC05A,6-9WSQ/RDLEDPANELLIGHT,3WSQ/RDLEDPANELLIGHT,12-15WSQ/RDLEDPANELLIGHT,18WSQ/RDLEDPANELLIGHT"
82,R-81004537,20-Nov-2018,"AmaseLightingEnterprises487/47NATIONALMARKETSRS73ROADPEERAGARHIDELHI-110087DELHI,WESTDELHI,INDIA",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Operative,19-Nov-2020,-,AMASE,"3W300mA,4W150mA,5W150mA,6W800mA,6W280mA,10W250mA,12W700mA,3W150mA,8W280mA,12W300mA"
83,R-41046647,03-Aug-2016,"ZhongshanGuzhenNanpaiLightingElecticalAppliancesCompany.UNIT2,4/F,NO.16,CAOANBEIROAD,CAOER,GUZHEN,ZHONGSHANCITY,CHINA-528421",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Operative,02-Aug-2020,-,ZY,"ZY405015,ZY1318,ZY0103,ZY0407,ZY0812,ZY182406,ZY1824,ZY253606,ZY253609,ZY405009(followingmodelsincludedon29May2018)ZY0407038,ZY0812038,ZY1318038,ZY1824038,ZY20068,ZY2536068,ZY2536098,ZY4050068,ZY4050098,ZY4050158"
84,R-41046744,02-Aug-2016,"ZhongshanHenglanBaierLightingElectricalAppliancesFactoryBUILDING2,AOKELAIINDUSTRIALPARK,NO.14,LEFENG5THROAD,MAOHUIINDUSTRIALZONE,HENGLANTOWN,ZHONGSHANCITY,CHINA-528478",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Expired,01-Aug-2018,-,GL-LITE,"HC0103A1,HC0407A1,HC0812A1,HC1218A1,HC1824A1,HC2436A1,HC3650A1"
85,R-41046728,02-Aug-2016,"ZhongshanHenglanBaierLightingElectricalAppliancesFactoryBUILDING2,AOKELAIINDUSTRIALPARK,NO.14,LEFENG5THROAD,MAOHUIINDUSTRIALZONE,HENGLANTOWN,ZHONGSHANCITY,CHINA-528478",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Expired,01-Aug-2018,-,AURA,"HC0103A1,HC0407A1,HC0812A1,HC1218A1,HC1824A1,HC2436A1,HC3650A1"
86,R-84000418,10-Aug-2016,"VividNotions80/79,MADHYAMMARG,MANSAROVAR,JAIPUR,RAJASTHAN,India-302020",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Expired,09-Aug-2018,-,VividNotions,VDN1518A265
87,R-41047767,09-Aug-2016,"GuangdongErmanLightingCo,.Ltd.NO-13,BUILDING,MINGHUIROAD,GAOXINDISTRICT,JIANGMENCITY,GUANGDONGPROVINCE,CHINA",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Operative,08-Aug-2020,-,IDIDEAL,"45W120,3040W90,3040W80,1924W60,1218W45,1218W30,0812W30,0407W60,0407W30,0103W30"
88,R-41046760,02-Aug-2016,"ZhongshanDaoruiLighting&ElectronicLimitedNO.5,THESECONDFLOOROF2NDBUILDING,NO.5,THETHIRDOFYIHUIROAD,MAOHUIINDUSTRIALZONE,HENGLANTOWN,ZHONGSHAN,GUANGDONG,CHINA-528400",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Expired,01-Aug-2018,-,LEDOS,"4050,0103,0305,0407,0815,1320,1925,2636,3640,0203"
89,R-41046795,02-Aug-2016,"JiangmenRayniceLightingCo.,LtdNO.11OFMINGHUIROAD,GAOXINAREA,JIANGMENCITY,China",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Expired,01-Aug-2018,-,PRISHA,"PRQCAPE528W,PRQ14PLUS12W,PRQCAPE15W,PRQ97W,PRQCAPE67W,PRQCAPE712W,PRQCAPE818W,PRQCAPE210W,PRQCAPE315W,PRQCAPE425W"
90,R-41046809,03-Aug-2016,"ZhongshanLingbangLightingCo.,Ltd.UNIT2,NO.5GUANGLEBEIROAD,LIANFENG,XIAOLANTOWN,ZHONGSHANCITY,GUANGDONG,CHINA-528421",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Operative,02-Aug-2020,-,MyClick,"0103WAPF,0407WAPF,0812WAPF,1218WAPF,1824WAPF"
91,R-41074977,13-Oct-2017,"JiangmenRayniceLightingCo.,LtdNO.11OFMINGHUIROAD,GAOXINAREA,JIANGMENCITY,China",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Operative,12-Oct-2021,-,RAYNICE,"RNDP042C1000EN,RNDP014C0350EN,RNDP003C0150EN,RNDP007C0350EN,RNDP006C0500EN,RNDP007C0650EN,RNDP012C0300EN,RNDP023C0350EN,RNDP018C0450EN,RNDP029C0700EN"
92,R-41047775,09-Aug-2016,"ZhongshanBpsElectricTechnologyLtd1,FRONT2NDFLOOR,B6-2,CHANGFENGSTREET,MEILIWEIINDUSTRIALPARK,GANGDONG,GUZHENTOWN,ZHONGSHANCITY,GUANGDONGPROVINCE,CHINA",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Expired,08-Aug-2018,-,FLORON,"(01-08)W,(09-25)W,(25-50)W,(50-100)W,(100-150)W"
93,R-41046833,02-Aug-2016,"ZhongshanLaiweiLightingCoLtd3/F,NO.13,HUAANDONGROAD,CAOSANINNOVATIONPARK,GUZHEN,ZHONGSHANCITY,GUANGDONG,China-528400",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Operative,01-Aug-2022,-,24x7Lighting,"0102APF,0103APF,0407APF,0912APF,1318APF,1925APF,2636APF,3754APF"
94,R-41046841,02-Aug-2016,"ZhongshanLaiweiLightingCoLtd3/F,NO.13,HUAANDONGROAD,CAOSANINNOVATIONPARK,GUZHEN,ZHONGSHANCITY,GUANGDONG,China-528400",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Operative,01-Aug-2022,-,CHANGI,"1318APF,0912APF,0407APF,0103APF,0102APF,3754APF,2636APF,1925APF"
95,R-41046868,03-Aug-2016,"ZhongshanLingbangLightingCo.,Ltd.UNIT2,NO.5GUANGLEBEIROAD,LIANFENG,XIAOLANTOWN,ZHONGSHANCITY,GUANGDONG,CHINA-528421",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Expired,02-Aug-2018,-,TLS,"0103WAPF,0407WAPF,0812WAPF,1218WAPF,1824WAPF"
96,R-41047783,09-Aug-2016,"GuangdongErmanLightingCo,.Ltd.NO-13,BUILDING,MINGHUIROAD,GAOXINDISTRICT,JIANGMENCITY,GUANGDONGPROVINCE,CHINA",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Expired,08-Aug-2018,-,M-LITE,"45W120,3040W90,3040W80,1924W60,1218W45,1218W30,0812W30,0407W60,0407W30,0103W30"
97,R-41047791,09-Aug-2016,"ZhongshanJiyuxingLightingCo.,Ltd.NO.3,YIHUI3RDROAD,MAOHUI,INDUSTRIALPARK,HENGLANTOWN,ZHONGSHANCITY,CHINA",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Expired,08-Aug-2018,-,ELEKTRA,"EK-3C-06W,EK-3C-03W,EK-3C-12W,EK-3C-18W,EL-2436W,EL-1218W,EL-0812W,EL-0407W,EL-0103W,EL-1824W,EL-4050W"
98,R-41046981,01-Aug-2016,"CnlightCo.,Ltd.ZONEA,SHISHANINDUSTRIALTECHNOLOGYPARK,NANHAIDISTRICT,FOSHANCITY,GUANGDONGPROVINCE,CHINA-528225",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Expired,31-Jul-2018,-,Albright,"ALBSUR18W,ALBSUR12W,ALBSUR6W(followingmodelsincludedon15May2017)AL03SL,AL09SL,AL15SL,AL25SL"
99,R-41046965,04-Aug-2016,"ZhongshanHenglanBaierLightingElectricalAppliancesFactoryBUILDING2,AOKELAIINDUSTRIALPARK,NO.14,LEFENG5THROAD,MAOHUIINDUSTRIALZONE,HENGLANTOWN,ZHONGSHANCITY,CHINA-528478",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Operative,03-Aug-2020,-,METRO,"HC3650A1,HC2436A1,HC1824A1,HC1218A1,HC0812A1,HC0407A1,HC0103A1"
100,R-41046949,04-Aug-2016,"ZhongshanNavigateOptoelectricTechnologyCo.,Ltd.NO.27,THESOUTHOFBANFUROAD,BANFUTOWN,ZHONGSHANCITY,GUANGDONGPROVINCE?CHINA-528759",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Expired,03-Aug-2018,-,NAVIGATE,"NT-DRP03,NT-DRP06,NT-DRP12,NT-DRP18,NT-DRP25,NT-DRP36,NT-DRP48"
101,R-81004561,26-Nov-2018,"MSAUTOMATIONSKH.NO.6/21/1&22,SHIVMANDIRCOLONY,SAFIYABADROADNARELA,DELHI-110040",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Operative,25-Nov-2020,-,MG,"MGD(15-18),MGD(9-12)"
102,R-93000477,09-Aug-2016,"BilltechElectricalsPvt.Ltd.5/13,SITE-2,LONIROAD,INDUSTRIALAREA,MOHANNAGAR,SAHIBABADGHAZIABAD201007(U.P)",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Expired,08-Aug-2018,-,LEDFY,"BT7916-20W,BT7916-12W,BT7912-6W,BT7925-7W"
103,R-41047015,01-Aug-2016,"ZhongshanLingbangLightingCo.,Ltd.UNIT2,NO.5GUANGLEBEIROAD,LIANFENG,XIAOLANTOWN,ZHONGSHANCITY,GUANGDONG,CHINA-528421",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Operative,31-Jul-2020,-,METRO,"0103WAPF,0407WAPF,0812WAPF,1218WAPF,1824WAPF,2436WAPF,3650WAPF,5065WAPF"
104,R-41047023,25-Jul-2016,"ZhongshanLingbangLightingCo.,Ltd.UNIT2,NO.5GUANGLEBEIROAD,LIANFENG,XIAOLANTOWN,ZHONGSHANCITY,GUANGDONG,CHINA-528421",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Operative,24-Jul-2020,-,SSPEED,"5065WAPF,3650WAPF,2436WAPF,1824WAPF,1218WAPF,0812WAPF,0407WAPF,0103WAPF"
105,R-41047040,29-Jul-2016,"ZhongshanHenglanBaierLightingElectricalAppliancesFactoryBUILDING2,AOKELAIINDUSTRIALPARK,NO.14,LEFENG5THROAD,MAOHUIINDUSTRIALZONE,HENGLANTOWN,ZHONGSHANCITY,CHINA-528478",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Expired,28-Jul-2018,-,STAREAGLE,"HC0103A1,HC0407A1,HC0812A1,HC1218A1,HC1824A1,HC2436A1,HC3650A1"
106,R-41047058,29-Jul-2016,"GuangdongErmanLightingCo,.Ltd.NO-13,BUILDING,MINGHUIROAD,GAOXINDISTRICT,JIANGMENCITY,GUANGDONGPROVINCE,CHINA",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Operative,28-Jul-2020,-,SLANG,"0103W30,0407W30,0407W60,0812W30,1218W30,1218W45,1924W60,3040W80,3040W90,45W120"
107,R-41047090,04-Aug-2016,"ZhongshanLingbangLightingCo.,Ltd.UNIT2,NO.5GUANGLEBEIROAD,LIANFENG,XIAOLANTOWN,ZHONGSHANCITY,GUANGDONG,CHINA-528421",IS15885(Part2/Sec13):2012,ACSuppliedElectronicControlgearforLEDModules,Expired,03-Aug-2018,-,BLOSSOM,"1824WAPF,1218WAPF,0812WAPF,0407WAPF,0103WAPF"
